country,year_1914,year_1915,year_1916,year_1917,year_1918,year_1919,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Afghanistan,27.04288,27.03263333,27.02238667,27.012140000000002,7.04506271,26.99164667,26.9814,26.97115333,26.96090667,26.95066,26.94041333,26.93016667,26.91992,26.90967333,26.89942667,26.88918,26.87893333,26.86868667,26.85844,26.84819333,26.83794667,26.8277,26.81745333,26.80720667,26.79696,26.78671333,26.77646667,26.76622,26.75597333,26.74572667,26.73548,26.72523333,26.71498667,26.70474,26.69449333,26.68424667,26.674,26.932,27.448,27.964000000000002,28.48,28.995
Albania,35.4,35.4,35.4,35.4,19.42793192,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,36.29480952,37.18961905,38.08442857,38.979238099999996,39.87404762,40.76885714,41.66366667,42.55847619,43.45328571,43.0,42.0,41.5,40.0,37.0,34.0,47.0,50.0,51.50657143,52.40138095,53.29619048,54.191,54.398999999999994,54.876000000000005,55.471000000000004,56.184,57.012
Algeria,29.1606,28.6572,28.28783692,28.28783692,22.05666781,28.28783692,27.5,27.5,27.215999999999998,29.624000000000002,30.968000000000004,31.64,30.968000000000004,26.488000000000003,29.791999999999998,29.96,31.136,29.176,30.397,31.521,30.935,32.596,33.696,31.919,31.296999999999997,33.36,33.72,32.09424196,31.45652951,27.18079998,32.09424196,30.0,32.0,35.0,37.8,39.9445,42.089,42.283,42.678000000000004,43.081,43.493,43.913999999999994
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,26.98,26.98,26.98,26.98,10.43427281,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,27.2029,27.4258,27.6487,27.8716,28.0945,28.3174,28.5403,28.7632,28.9861,29.209,29.406999999999996,29.804000000000002,30.201,30.599,30.997
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,33.536,33.536,33.536,33.536,21.750121300000004,33.536,33.536,33.536,34.36358621,35.19117241,36.01875862,36.84634483,37.67393103,38.50151724,39.32910345,40.15668966,40.98427586,41.81186207,42.63944828,43.46703448,44.29462069,45.122206899999995,45.9497931,46.77737931,47.60496552,48.43255172,49.26013793,50.08772414,50.91531034,51.74289655,52.57048276,53.39806897,54.22565517,55.05324138,55.88082759,56.70841379,57.536,57.786,58.284,58.778999999999996,59.271,59.75899999999999
Argentina,45.66,46.2,47.0,47.8,41.76362058,49.4,50.2,50.68,51.16,51.64,52.12,52.6,52.94,53.28,53.62,53.96,54.3,54.3,54.3,54.3,54.3,54.3,55.26,56.22,57.18,58.14,59.1,59.68,60.26,60.84,61.42,62.0,61.8836,61.7672,61.6508,61.5344,61.418,61.728,62.32,62.855,63.331,63.748999999999995
Armenia,39.195,38.795,38.795,35.795,27.0,37.0,28.0,38.0,39.0,39.865,42.365,41.465,44.665,44.00038814,45.50837427,44.26585797,43.58385174,42.0,39.5,33.0,45.94662426,47.50397279,49.17307428,48.18166569,49.86628107,52.265,49.795,28.0,24.5,22.5,30.0,39.5,56.795,48.795,56.865,59.665,61.965,62.178000000000004,62.602,63.023999999999994,63.446000000000005,63.86600000000001
Aruba,34.419000000000004,34.419000000000004,34.419000000000004,34.419000000000004,22.32280013,34.419000000000004,34.419000000000004,34.419000000000004,35.24658621,36.07417241,36.90175862,37.72934483,38.55693103,39.38451724,40.21210345,41.03968966,41.86727586,42.69486207,43.52244828,44.35003448,45.17762069,46.0052069,46.8327931,47.66037931,48.48796552,49.31555172,50.14313793,50.97072414,51.79831034,52.62589655,53.45348276,54.28106897,55.10865517,55.93624138,56.76382759,57.59141379,58.419,58.961999999999996,60.01,60.98,61.873000000000005,62.687
Australia,57.3354902,57.86470588,58.39392157,58.92313725,54.80239165,59.98156863,60.51078431,61.04,62.89,61.73,62.53,63.22,62.94,62.91,62.96,63.15,64.96,65.39,65.69,65.52,64.88,65.15,65.27,65.83,65.87,65.82,66.26,66.14,65.88,66.4,68.03,68.46,67.98,68.59,68.51,69.13,69.02,68.72,69.12,69.7,69.85,70.17
Austria,46.8028,47.3704,47.938,48.5056,32.43309186,49.6408,50.2084,50.776,51.3436,51.9112,52.4788,53.0464,53.614,54.1816,54.7492,55.3168,55.8844,56.452,56.755625,57.05925,57.362875,57.6665,57.970125,58.27375,58.577375,58.1,57.8,56.5,54.1,50.2,39.1,31.4,56.0,61.31,63.24,63.43,64.88,65.26,66.8,67.29,67.32,67.6
Azerbaijan,34.365,33.965,33.965,30.965,22.0,32.0,30.0,33.0,34.0,35.035,37.535,36.635,39.835,39.17038814,40.67837427,39.43585797,38.75385174,37.0,34.5,27.0,41.11662426,42.67397279,44.34307428,43.35166569,45.03628107,47.435,44.965,30.3,26.8,24.8,32.0,42.0,51.965,43.965,52.035,54.835,57.135,57.342,57.754,58.166000000000004,58.576,58.985
