country,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8151455,8276820,8407148,8542906,8684494,8832253
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,932000,937000,942000,947000,952000,956000,962000,967000,972000,977000,982000,988000,993000,998000,1003000,1009000,1014000,1030000,1040000,1070000,1088000,1100000,1117000,1119000,1122000,1138000,1154000,1175000,1192000,1209000,1215002,1239971,1269302,1302536,1339240,1378998
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752997,8953373,9140990,9326099,9515990,9715002
American Samoa,8100,,,,,,,,,,10000,,,,,,,,,,13000,,,,,,,,,,18937,19287,19525,19659,19706,19688
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197,6692,7247,7856,8514,9217
Angola,,,,,,,,,,,,,,,,,,,,,3738000,,,,,,,,,,4147509,4219332,4296534,4376947,4458962,4541519
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121,5297,5438,5549,5635,5697
Antigua and Barbuda,,30000,,,,,,,,,,,,,,,,,,,,,,,,,42000,,,,46301,48316,49906,51117,52002,52625
Argentina,8861000,9092000,9368000,9707000,10054000,10358000,10652000,10965000,11282000,11592000,11896000,12167000,12402000,12623000,12834000,13044000,13260000,13490000,13724000,13984000,14169000,14402000,14638000,14877000,15130000,15390000,15654000,15942000,16307000,16737000,17150335,17506378,17865382,18223955,18579614,18930778
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353506,1382982,1419913,1463017,1511188,1563508
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38066,38263,38966,40151,41765,43729
Australia,5358000,5461000,5574000,5697000,5819000,5943000,6064000,6188000,6304000,6396000,6469000,6527000,6579000,6631000,6682000,6732000,6783000,6841000,6904000,6971000,7042000,7111000,7173000,7236000,7309000,7389000,7474000,7578000,7715000,7919000,8177344,8398540,8604679,8804552,9004634,9209085
Austria,6455000,6504000,6528000,6543000,6562000,6582000,6603000,6623000,6643000,6664000,6684000,6705000,6725000,6746000,6760000,6761000,6758000,6755000,6753000,6653000,6705000,6745000,6783000,6808000,6834000,6799000,7000000,6971000,6956000,6943000,6936445,6930746,6929474,6931618,6936580,6944174
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895997,2964962,3044695,3132625,3226823,3326002
Bahamas,,53000,,,,,,,,,,60000,,,,,,,,,,,,69000,,,,,,,79088,79982,81426,83368,85773,88616
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115612,116860,119567,123402,128072,133321
Bangladesh,,,,,,,,,,34427000,,,,,,,,,,,,38173021,,,,,37894678,,,,37894678,39112507,40207573,41257838,42322978,43444382
Barbados,,157000,,,,,,,,,,,,,,,,,,,,,,,,,194000,,,,210995,215673,219587,222747,225194,226999
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745003,7717670,7710974,7724055,7755530,7803500
Belgium,7552000,7504000,7571000,7635000,7707000,7779000,7844000,7904000,7968000,8032000,8076000,8126000,8186000,8231000,8262000,8288000,8315000,8346000,8374000,8392000,8346000,8276000,8247000,8242000,8291000,8339000,8367000,8450000,8557000,8614000,8628489,8665736,8710135,8759521,8812159,8866744
Belize,,45000,,,,,,,,,,51000,,,,,,,,,,,,,,,59000,,,,68918,71147,73295,75437,77630,79909
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255222,2258097,2264492,2274125,2286767,2302243
Bermuda,,20000,,,,,,,,,,28000,,,,,,,,31000,,,,,,,,,,,37260,37793,38424,39122,39865,40637
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168377,174400,180287,186067,191769,197421
Bolivia,2136000,2161000,2186000,2212000,2237000,2263000,2289000,2316000,2343000,2370000,2397000,2425000,2453000,2482000,2511000,2540000,2569000,2599000,2629000,2659000,2690000,2721000,2753000,2785000,2817000,2850000,2883000,2916000,2950000,2984000,2713630,2767960,2824538,2883362,2944416,3007667
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661293,2720515,2779107,2836208,2891241,2943905
Botswana,,153000,,,,,,,,,,,,,,,266000,,,,,,,,,,296000,,,,412533,425268,437177,448428,459195,469656
Brazil,27404000,27969000,28542000,29126000,29723000,30332000,30953000,31587000,32234000,32894000,33568000,34256000,34957000,35673000,36404000,37150000,37911000,38687000,39480000,40289000,41114000,42069000,43069000,44093000,45141000,46215000,47313000,48438000,49590000,50769000,53974725,55669001,57422674,59215974,61036582,62879616
British Virgin Islands,,5100,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,7441,7501,7548,7586,7623,7661
Brunei,,26000,,,,,,,,,,30000,,,,,,,,,,,,,,,,41000,,,48001,51070,54083,57085,60113,63194
Bulgaria,5072000,5148000,5255000,5365000,5476000,5590000,5705000,5798000,5873000,5950000,6027000,6106000,6186000,6267000,6349000,6415000,6469000,6514000,6564000,6614000,6666000,6715000,6771000,6828000,6885000,6942000,7000000,7064000,7130000,7195000,7250999,7282560,7324411,7375320,7433978,7499009
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4284459,4326475,4371948,4421583,4475785,4534650
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456300,2504993,2550737,2595383,2640339,2686568
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345800,4457418,4555803,4648644,4741920,4839899
Cameroon,,,,,,,2547668,,,,,3023000,,,,,3241694,,,,,,,,,,,,,,4466497,4549464,4634190,4720787,4809464,4900528
