name,pop1939,pop1940,pop1941,pop1942,pop1943,pop1944,pop1945,lifeExp1939,lifeExp1940,lifeExp1941,lifeExp1942,lifeExp1943,lifeExp1944,lifeExp1945,gdp1939,gdp1940,gdp1941,gdp1942,gdp1943,gdp1944,gdp1945
Albania,1070000,1088000,1100000,1117000,1119000,1122000,1138000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,65.82,66.26,66.14,65.88,66.4,68.03,68.46,0,0,0,0,0,0,0
Austria,6653000,6705000,6745000,6783000,6808000,6834000,6799000,50.08,50.9,51.73,52.56,53.39,54.21,55.04,1666.25,1595.36,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,33.2,33.92,34.65,35.37,36.09,36.82,37.54,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,44.63,45.55,46.48,47.4,48.33,49.25,50.18,6423.53,5272.8,4501.67,4617.74,3740.56,3794.18,4048.7
Belgium,8392000,8346000,8276000,8247000,8242000,8291000,8339000,31,31,31,31,31,31,31.28,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,36.18,36.64,37.77,38.9,40.04,41.17,42.3,0,0,0,0,0,0,0
Bulgaria,6614000,6666000,6715000,6771000,6828000,6885000,6942000,31.5,31.5,31.5,31.5,30.1,17.5,31.5,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,50.13,50.96,51.8,52.63,53.46,55.23,57,3572.08,3058.45,4047.45,3344.39,3649.49,4128.31,4496.19
Cyprus,0,0,0,0,0,0,0,65.83,66.27,66.02,67.16,67.46,66.41,66.09,0,0,0,0,0,0,0
Czech Rep.,0,0,0,0,0,0,0,29.9,29.9,29.9,29.9,29.9,29.9,29.9,0,0,0,0,0,0,0
Czechoslovakia,14683000,14713000,14671000,14577000,14538000,14593000,14152000,0,0,0,0,0,0,0,7652.71,6541.9,5855.93,5933.93,6521.29,7125.28,6520.8
Denmark,3805000,3832000,3863000,3903000,3949000,3998000,4045000,33.74,34.7,35.66,36.63,37.59,38.55,39.51,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,54.67,46.65,46.5,53.9,56.27,48,57.19,0,0,0,0,0,0,0
Finland,3686000,3698000,3702000,3708000,3721000,3735000,3758000,28.8,28.8,28.8,28.8,28.8,28.8,28.8,5609.14,4419.43,4268.29,4290.23,4272.41,3266.23,4011.65
France,41900000,41000000,39600000,39400000,39000000,38900000,39700000,50.14,47.67,33.3,29.8,27.8,35,45,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,37.85,39.35,41.2,43.05,42.74,42.42,42.1,8483.68,8477.82,8962.15,9007.31,9242.26,9546.85,7083.98
Germany,69286000,69835000,70244000,70834000,70411000,69865000,67000000,48.89,49.48,50.07,50.65,51.24,51.83,52.41,0,0,0,0,0,0,0
Greece,7156000,7280000,7362000,7339000,7297000,7284000,7322000,29.59,30.35,31.45,32.56,33.66,34.76,35.86,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,9227000,9287000,9344000,9396000,9442000,9497000,9024000,31.2,31.2,31.57,31.93,32.3,32.67,33.03,4538.18,4773.73,5411.37,6238.02,6574.81,7112.1,7562.67
Iceland,0,0,0,0,0,0,0,59.56,59.78,60,60.28,60.56,60.84,61.12,643.16,654.34,657.59,646.06,662.91,647.44,628.72
Ireland,2934000,2958000,2993000,2963000,2946000,2944000,2952000,49,49,48.75,48.5,46,40,30.54,4992.28,5465.49,5964.27,6089.58,6173.15,5903.45,5625.03
Italy,43865000,44341000,44734000,45004000,45177000,45290000,45442000,44.47,42,27,24,23,31,39,0,0,0,1870.22,2215.6,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,0,0,0,0,0,0,0,32.8,32.8,32.8,32.8,32.8,32.8,32.8,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,55,51,12,46,44.4,27,40,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,30.3,30.3,30.3,30.3,30.3,30.3,30.3,4253.94,4076.78,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,40.9,42.04,41.8,36.1,38.5,38.3,38.1,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,32.65,32.65,32.65,32.65,32.65,32.65,32.65,0,0,0,0,0,0,0
"Macedonia, FYR",0,0,0,0,0,0,0,59,57.5,53,56,61,62.5,63.21,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,45.5,39.2,42.6,39.8,42.8,43.2,44.2,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,30.28,30.28,30.28,30.28,30.28,30.28,30.28,0,0,0,0,0,0,0
Monaco,0,0,0,0,0,0,0,30.8,30.8,30.8,28,28.5,28.1,28,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,8782000,8879000,8966000,9042000,9103000,9175000,9262000,30.4,30.4,30.4,30.4,30.4,30.4,30.4,6641.98,5796.49,5449.65,4950.39,4813.35,3201.78,3255.32
Northern Cyprus,0,0,0,0,0,0,0,31.5,31.5,31.5,31,30,29,28,0,0,0,0,0,0,0
Norway,2954000,2973000,2990000,3009000,3032000,3060000,3091000,35.7,35.7,36.44,37.18,37.92,38.67,39.41,0,0,0,0,0,0,0
Poland,31365000,30021000,0,0,0,0,0,35.12,35.53,35.95,36.36,34,19.46,37.51,2482.87,2292.84,2479.98,2425.1,2564.33,2686.88,2560.36
Portugal,7581000,7675000,7757000,7826000,7896000,7967000,8038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,15751000,15907000,15774000,15839000,15840000,15946000,15929000,0,0,0,0,0,0,0,3946.08,3781.74,0,0,0,0,0
Russia,0,0,0,0,0,0,0,40.88,41.71,42.54,43.37,44.19,45.02,45.85,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,24.84,24.89,24.93,24.97,25.01,25.06,25.1,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,31.12,32.33,33.53,28,26,31,35,0,0,0,0,0,0,0
Serbia and Montenegro,0,0,0,0,0,0,0,29.4,29.4,29.4,29.4,29.4,29.4,29.4,0,0,0,0,0,0,0
Serbia excluding Kosovo,0,0,0,0,0,0,0,38.02,38.52,39.03,39.53,40.03,40.53,41.04,0,0,0,0,0,0,0
Slovak Republic,0,0,0,0,0,0,0,31.4,31.4,32.6,33.8,35,36.21,37.41,4108.51,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,45.09,45.96,46.83,47.7,48.57,49.44,50.31,0,0,0,0,0,0,0
Spain,25517000,25757000,25979000,26182000,26387000,26594000,26802000,42.51,40.04,29.7,25.7,24.7,32.7,40.2,978.52,1031.87,1053.03,1091.12,1059.3,952.32,920.42
Sweden,6315081,6344185,6371448,6407455,6466005,6533699,6604495,44.85,46.04,47.23,48.41,49.6,50.79,51.98,9731.54,9786.93,9657.3,9343.95,9182.31,9315.64,11860.83
Switzerland,4206000,4226000,4254000,4286000,4323000,4364000,4412000,50.39,50.98,51.57,52.15,52.74,53.33,53.91,1565.13,1568.27,1571.42,1574.57,1577.72,1580.89,1584.06
Turkey,17517000,17821000,18011000,18203000,18396000,18592000,18790000,0,0,0,0,0,0,0,2521.08,2416.09,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,37.04,36,35.1,34.5,33,27,17,0,0,0,0,0,0,0
United Kingdom,47991000,48226000,48216000,48400000,48789000,49016000,49182000,23.39,23.39,23.39,23.39,23.39,23.39,23.39,10225.26,10948.06,12667.38,14819.55,16980.87,18085.1,17614.95
USSR,192379000,195970000,0,0,0,0,0,0,0,0,0,0,0,0,938.7,897.05,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,16305000,16300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
